wavelength_nm,flux_erg_cm^-2_s^-1_nm^-1
5.768400954194142969e+02,1.931093476753835473e-08
5.788395605255894907e+02,1.922788520888168473e-08
5.808390255577542121e+02,1.913050364737608961e-08
5.828384905167508805e+02,1.903292348036329097e-08
5.848379554034116836e+02,1.898220510596343128e-08
5.868374202185538024e+02,1.886891830531402714e-08
5.888368849629819124e+02,1.871182127355293810e-08
5.908363496374892065e+02,1.870954675263210564e-08
5.928358142428562587e+02,1.863089315134210192e-08
5.948352787798513646e+02,1.851276354312238526e-08
5.968347432492337248e+02,1.844251806053923177e-08
5.988342076517482155e+02,1.834979120411740911e-08
6.008336719881302770e+02,1.830778289901773246e-08
6.028331362591034122e+02,1.824330887791370938e-08
6.048326004653807786e+02,1.811828431725135474e-08
6.068320646076645062e+02,1.803025980301276724e-08
6.088315286866487668e+02,1.796998790087919627e-08
6.108309927030146582e+02,1.790569221783488700e-08
6.128304566574346381e+02,1.790905643291461825e-08
6.148299205505711598e+02,1.769557753883874142e-08
6.168293843830770129e+02,1.777127692911043595e-08
6.188288481555948692e+02,1.757608968843851163e-08
6.208283118687609203e+02,1.749040597461068057e-08
6.228277755231995343e+02,1.745281138214578983e-08
6.248272391195266664e+02,1.739405776724185310e-08
6.268267026583500865e+02,1.725958282596287312e-08
6.288261661402686968e+02,1.717928379139527583e-08
6.308256295658728732e+02,1.713624441967422671e-08
6.328250929357438963e+02,1.705572661424375851e-08
6.348245562504579311e+02,1.684512397846678412e-08
6.368240195105798875e+02,1.682365739116061458e-08
6.388234827166681953e+02,1.680057948396109629e-08
6.408229458692732123e+02,1.676045724307623708e-08
6.428224089689377934e+02,1.664901649442751519e-08
6.448218720161968349e+02,1.651891087793871283e-08
6.468213350115797766e+02,1.645457900297200592e-08
6.488207979556070768e+02,1.628271909053516360e-08
6.508202608487923726e+02,1.588749955415313970e-08
6.528197236916427073e+02,1.498774869354049290e-08
6.548191864846583030e+02,1.238080814824505134e-08
6.568186492283314237e+02,1.024651958997579993e-08
6.588181119231506955e+02,1.400014650511270908e-08
6.608175745695955356e+02,1.530027270272457471e-08
6.628170371681402457e+02,1.566696356399679732e-08
6.648164997192517376e+02,1.575897362613063610e-08
6.668159622233922619e+02,1.577105822830674071e-08
6.688154246810165660e+02,1.572700851302725774e-08
6.708148870925734855e+02,1.569314548498917860e-08
6.728143494585082180e+02,1.561994646843705238e-08
6.748138117792584580e+02,1.559595969201903543e-08
6.768132740552550786e+02,1.551759368012371502e-08
6.788127362869256558e+02,1.546075084328771993e-08
6.808121984746909447e+02,1.540207273547908959e-08
6.828116606189655613e+02,1.533776485700987601e-08
6.848111227201618476e+02,1.529186370420017180e-08
6.868105847786841878e+02,1.521675021355029342e-08
6.888100467949321910e+02,1.515404809394938725e-08
6.908095087693009191e+02,1.509682197266103452e-08
6.928089707021796357e+02,1.503388371356472821e-08
6.948084325939546488e+02,1.497487757456751890e-08
6.968078944450060135e+02,1.491776280133022435e-08
6.988073562557086689e+02,1.485375493790533798e-08
7.008068180264338025e+02,1.480933269670489523e-08
7.028062797575473724e+02,1.474792851601608226e-08
7.048057414494111299e+02,1.467370804870745418e-08
7.068052031023810287e+02,1.462329115057645289e-08
7.088046647168123400e+02,1.456564056414958606e-08
7.108041262930526045e+02,1.447994294462782469e-08
7.128035878314457250e+02,1.446276420408181155e-08
7.148030493323319661e+02,1.439860791759774923e-08
7.168025107960473861e+02,1.435953493965847948e-08
7.188019722229227000e+02,1.431853388374991711e-08
7.208014336132880544e+02,1.424394370108482284e-08
7.228008949674662063e+02,1.417940133443667172e-08
7.248003562857775250e+02,1.411558356016936927e-08
7.267998175685378328e+02,1.405822022796150713e-08
7.287992788160602231e+02,1.403447512745582460e-08
7.307987400286530146e+02,1.395515677927225534e-08
7.327982012066206607e+02,1.391286408147269773e-08
7.347976623502665916e+02,1.383901675817994301e-08
7.367971234598882120e+02,1.378666140803337386e-08
7.387965845357791750e+02,1.375975309576774480e-08
7.407960455782315421e+02,1.372858963617991211e-08
7.427955065875324863e+02,1.363418554571932737e-08
7.447949675639658835e+02,1.358142383576586735e-08
7.467944285078143594e+02,1.350666525093303304e-08
7.487938894193548549e+02,1.347914519061953140e-08
7.507933502988622649e+02,1.342362669482739156e-08
7.527928111466076189e+02,1.337249341857427847e-08
7.547922719628601271e+02,1.331204068686251081e-08
7.567917327478833158e+02,1.326906634892557349e-08
7.587911935019423026e+02,1.321557683092888342e-08
7.607906542252947020e+02,1.317356252606481567e-08
7.627901149181976734e+02,1.311338556713581998e-08
7.647895755809042839e+02,1.307165876035677683e-08
7.667890362136654403e+02,1.305483339753515391e-08
7.687884968167290936e+02,1.298551541179544895e-08
7.707879573903393293e+02,1.293286711025957380e-08
7.727874179347406880e+02,1.286930345351197652e-08
7.747868784501717982e+02,1.284057017872959081e-08
7.767863389368698108e+02,1.257005312575131512e-08
7.787857993950692617e+02,1.271875238550951629e-08
7.807852598250018445e+02,1.268206015719802890e-08
7.827847202268964111e+02,1.264984009393444779e-08
7.847841806009811307e+02,1.259672792351262994e-08
7.867836409474799666e+02,1.248919399954399766e-08
7.887831012666144943e+02,1.241533069062082422e-08
7.907825615586043568e+02,1.244987419619282041e-08
