rho_core_over_rho_core_sun,BP_RP_model,M_G_model,log10_g_cm_s2,T_photo_K
0.01,1.4030269740080554,8.629730629909378,4.019215430275885,4021.0129785416875
0.01,1.3025003683025802,7.830102311138363,4.084432506463603,4484.590275357026
0.01,1.1676637379123005,7.0348630598256605,4.148844583122024,4999.676859813296
0.01,2.027184118022958,21.582809866148914,2.72845126647609,900.2229016966966
0.01,2.0038958013593016,20.93478047333175,2.781203204989545,983.3536309312277
0.01,1.9804331238257042,20.30518751936671,2.8325396077201805,1071.6441066723696
0.01,1.9568559007277018,19.692027564470436,2.882738017594551,1164.871124572301
0.01,1.8703810065646853,17.470982992545828,3.0826569595854814,1543.234270371482
0.01,1.853486693280694,17.005858835246492,3.1316465323011338,1623.30433739247
0.01,1.8376169759686383,16.56742018782763,3.179314068073115,1700.1631343338877
0.01,1.8211054070847648,16.12866085862853,3.22638359339517,1781.7286932691163
0.01,1.784544274843486,15.22017525004089,3.321883118467528,1967.6249850731997
0.01,1.767472889463213,14.786933628984178,3.369883462134912,2056.656756725681
0.01,1.7322907803596708,13.943078140189469,3.4630163347257223,2243.905238376684
0.01,1.7155507528022882,13.544210708945863,3.5084740430593815,2334.5021782553986
0.01,1.6428909486910257,12.18031427714508,3.6436127271128234,2735.0302174653307
0.01,1.5762731979437465,11.184326688010042,3.732540962331645,3105.428413408759
0.01,1.541985020426216,10.707171779825977,3.7768074993515244,3294.2735913942474
0.01,1.4060944445934187,9.197684502402524,3.9087909821293456,4005.9168100732295
0.01,0.7385454276531076,6.207097339599165,4.161534660411327,5962.35342635219
0.01,1.970945098188525,20.960062501594685,2.6720732482458,1108.6235307693894
0.01,1.9465192775883675,20.29354302204385,2.731391116757192,1207.1389332393555
0.01,1.868433754656963,18.075764059397144,2.956435372381017,1552.3681265904206
0.01,1.7934207596846703,16.07336394625372,3.1715979976999025,1921.8662250374573
0.01,1.7772823569350835,15.628315764294323,3.2234499340313194,2005.3375075261636
0.01,1.7624029693777,15.212484454579352,3.2738389270760733,2083.3429187028923
0.01,1.6846681157482815,13.475763986041303,3.4613454679065017,2503.594851231163
0.01,1.6580528342840122,12.997373767192277,3.5075667071415153,2650.79558152078
0.01,1.628234436089071,12.505653624996807,3.5532193544430104,2816.5943376858163
0.01,1.5963124270949702,12.014333250447383,3.598223121573131,2994.247085012776
0.01,1.5626325527083416,11.529969043584583,3.6426692884966023,3180.811203045557
0.01,1.525884917818748,11.041753961577143,3.687011129261726,3382.071174960811
0.01,1.4304745530015157,9.997349600754859,3.7754312203516305,3884.1545566926684
0.01,1.3817264701906475,9.51632477382361,3.819652092960421,4124.387434808463
0.01,1.9086311974870018,20.285836913960807,2.6234878105493573,1369.1008028829012
0.01,1.882637468581039,19.483614292252938,2.7128807172138427,1486.3285141770923
0.01,1.859455735038946,18.77272517310061,2.79356804126671,1594.803129862302
0.01,1.819542773641081,17.545978791881318,2.939061645344984,1789.5288151217915
0.01,1.8040158633395333,17.03276110954893,3.0045809208519736,1867.7588577523786
0.01,1.7730787462712543,16.115840501490474,3.116647085742099,2027.277298655303
0.01,1.7579699763666707,15.69605895810608,3.1670769750848056,2106.763538404326
0.01,1.7408159761846855,15.256202706576152,3.21831417498888,2198.112061988625
0.01,1.4523466378166532,10.801515860386537,3.6401628042024816,3772.3875548094293
0.01,1.3564195365702942,9.843822110059495,3.729508443491017,4243.749197490149
0.01,1.0400571741774842,7.724376157985099,3.948255094834733,5373.109300743229
0.01,1.836297631118925,18.996681930782387,2.6899077700852514,1706.6219162897505
0.01,1.7695750402834698,16.725700632884852,2.986879283379154,2045.6237490396206
0.01,1.7321971193807146,15.716062592209619,3.1084296070692994,2244.4096970650908
0.01,1.6890334150863524,14.743767897930278,3.2162932169725145,2479.5640646028137
0.01,1.6356535497788922,13.75754148314523,3.3154385407207396,2775.2958605350254
0.01,1.6033800908866753,13.246641928513421,3.363104890442763,2954.9480797434667
0.01,1.5629775811496196,12.69430378680159,3.4101175117316584,3178.908170789813
0.01,1.518628078140288,12.146443394385162,3.4559312216857108,3421.4170164241164
0.01,1.4739909619721685,11.625404882812767,3.5014915753827296,3659.6470442736027
0.01,1.382675721094993,10.657331644231796,3.5925612178842314,4119.835906333498
0.01,1.2746930721202416,9.724057109427278,3.683117202804782,4601.215671029722
0.01,0.8944421232832317,7.688750423811015,3.9054901399658224,5690.249003427362
0.01,0.5539106638948623,6.894275385137146,3.973664210981689,6317.885365673809
0.01,0.3220541902240847,6.103272552762657,4.0302844606192565,7101.627342122977
0.01,0.1751473021878124,5.314366028997658,4.081916295895965,8026.11753237069
0.01,1.806633009536038,19.03909811943455,2.6092169648420307,1854.4823709902416
0.01,1.784197985305827,18.175402859107628,2.729691311962424,1969.4177685980444
0.01,1.7643617662042947,17.454516470150097,2.8295408998947282,2073.0197829842787
0.01,1.7462316612988507,16.85098071281196,2.9107436686390837,2169.1536547776336
0.01,1.7264846801387923,16.2984493958361,2.979850260930978,2275.2304565785253
0.01,1.7045109893382042,15.763789889009166,3.0424247182163153,2394.6870196684513
0.01,1.6808524468980193,15.238784108170647,3.1014639370155566,2524.629436085903
0.01,1.6529161599068114,14.70611654184494,3.1565075000215375,2679.3107447065554
0.01,1.6184824781930147,14.136433348678201,3.210334059853903,2870.891688029923
0.01,1.57854087190659,13.558267730232965,3.261326435203406,3092.869986768145
0.01,1.4938416750741663,12.476245507825226,3.356735670993989,3554.5737368230857
0.01,1.4514595849359153,11.976424198532499,3.4039545703744944,3776.964163311064
0.01,1.4070041378910167,11.490992727315373,3.4510047527711576,4001.4299978382032
0.01,1.246940501016759,10.085788094171438,3.5898351661477514,4712.272390676718
0.01,1.1368837233845681,9.282821886449593,3.682236790880607,5099.466401972974
0.01,1.0635132702937786,8.87577870784213,3.728105493695703,5312.127445341056
0.01,0.6907586753360112,7.653536184935826,3.8601015536618113,6044.909374017571
0.01,0.24607120054931259,6.0687864563287155,3.9871833779545263,7521.280082080926
0.01,1.724873976729968,17.16007717575775,2.8042683457289663,2283.9394228192955
0.01,1.698665979407689,16.462126357726035,2.891359074942223,2426.6765690693514
0.01,1.669942449807554,15.797271925810987,2.9692254666424107,2584.9092476769283
0.01,1.6336144193180067,15.132411973966802,3.03702918191055,2786.644982446917
0.01,1.555251425815431,13.936599531889778,3.150034895435863,3221.470589131819
0.01,1.473343111358173,12.878501409417316,3.2501704532676254,3663.050295174745
0.01,1.3773467859394186,11.861688226375744,3.3463971024771038,4145.319013205984
0.01,1.2219567079708238,10.483648346932018,3.4930453887115522,4807.622226808353
0.01,0.17999596109986965,6.0342749996494485,3.9418975918084573,7987.491750313933
0.01,1.62011277672592,15.79951900166481,2.8806014031180327,2861.8144417426975
