rho_core_over_rho_core_sun,T_photo_K,log10_g_cm_s2,log10_L_over_Lsun
1.0,1649.8604184426326,4.069712457448839,-6.966254660528898
1.0,1861.9446139515314,4.17421995008098,-6.547350279582803
1.0,1955.4854555795062,4.225194472186256,-6.35962990850266
1.0,2050.7399947004837,4.274374250213137,-6.178938572791575
1.0,2141.6100232882254,4.321369508475243,-6.009218648527261
1.0,2803.1790004003497,4.597351422843266,-4.9903500726637855
1.0,2936.4742269543326,4.642338731991629,-4.819595980064344
1.0,3104.492469265475,4.687026735666046,-4.6331445900762045
1.0,3279.304531646965,4.731607420372386,-4.448610952090009
1.0,3483.187726123999,4.776029066764298,-4.255343713489653
1.0,3689.3249550770533,4.820317345718021,-4.066876966316029
1.0,4423.7041268268085,4.953174993651989,-3.485436643515593
1.0,4850.343834259322,5.023799116399026,-3.1844072388236295
1.0,1159.6822725708191,3.6560517329027666,-8.405743256364756
1.0,1274.0013663902769,3.7128910723612307,-8.128708895421708
1.0,1392.112566285988,3.765810004686504,-7.869172446649047
1.0,1615.1035656537504,3.8877397903149933,-7.367406310270953
1.0,1715.8539904166619,3.950997692970776,-7.135059650882917
1.0,1903.977649446146,4.065730700715403,-6.724868345033849
1.0,1982.1608086293868,4.117814269123026,-6.551294608304326
1.0,2274.5345606244937,4.267565640916192,-6.012323982074735
1.0,2382.464759792833,4.316944479514731,-5.833423555189684
1.0,2492.6473636453825,4.365320345551121,-5.65806739556057
1.0,2603.919600751149,4.412720725173992,-5.4869273226840125
1.0,3011.913027241277,4.55094988182643,-4.957945661135517
1.0,3181.2987209356234,4.5964313807184825,-4.772420286007632
1.0,3371.053868927769,4.641690361247454,-4.580935259750623
1.0,3577.9994629782163,4.686413058105852,-4.38810824883066
1.0,4289.187251639961,4.819034760907771,-3.8074230665006983
1.0,1632.4800883754021,3.7233388757742154,-7.677645352317542
1.0,1729.1966415993443,3.796580589191394,-7.430676094960804
1.0,1819.6978849846912,3.8604057013504813,-7.214648178185007
1.0,2018.6190249725203,3.9866489184591147,-6.781587510644753
1.0,2226.8168071256346,4.105722302500574,-6.373115987833314
1.0,2428.992269606751,4.2145054319187505,-6.004525700488172
1.0,2532.9259693208755,4.264887654348708,-5.831236160495839
1.0,2643.674641587109,4.314204984852653,-5.6579679692144875
1.0,2772.1784310885014,4.362632377832631,-5.478478204520458
1.0,2923.6767170930652,4.4100987426686835,-5.291104118590182
1.0,3088.7669305114887,4.457406370589878,-5.101748378636264
1.0,3460.7133638612377,4.549804269184498,-4.719013835676465
1.0,3683.693629495183,4.595007397761591,-4.519761984219722
1.0,4163.829850430215,4.68434924754264,-4.12902968723631
1.0,2160.016359442246,3.9111497371317885,-6.815062804227159
1.0,2259.1888818447687,3.9797551985378976,-6.600395136618436
1.0,2459.0987428554126,4.098898866888366,-6.21440721795585
1.0,2576.1748298550638,4.154343227086857,-6.0226147766819285
1.0,2997.010181120523,4.3109350577683205,-5.446610698474222
1.0,3352.556540901531,4.407619221823502,-5.058669949613579
1.0,3573.8792517859997,4.454691999830329,-4.853760142087625
1.0,3809.454993676681,4.500976998610351,-4.649462667935611
1.0,4289.6216312201395,4.591540159529837,-4.262370740738758
1.0,5348.692379986774,4.817906945211627,-3.426627649848859
1.0,2137.7115958671234,3.699365576957067,-7.256681601041867
1.0,2628.7303373311934,4.027312760797253,-6.241597760528785
1.0,2762.5836424782156,4.0893504140580585,-6.031099179373724
1.0,2904.431963834986,4.147040535759562,-5.829302577751831
1.0,3062.756411185282,4.201846535130024,-5.62683442336734
1.0,3257.838918632347,4.254284570365035,-5.415302936644727
1.0,3471.809861295747,4.305247904876252,-5.202407496649842
1.0,3941.299708335,4.402549790777022,-4.787957860872952
1.0,4411.972341924308,4.495445443544773,-4.405833751899033
1.0,4867.682326797566,4.58904972143498,-4.047964863928831
1.0,5275.484229130517,4.681261416420831,-3.7237319981563903
1.0,5471.309881956897,4.726906301747217,-3.568966085459797
1.0,2968.3291657497357,4.01072806581446,-6.063811406829496
1.0,3602.5648402449074,4.192449033617283,-5.364307114525422
1.0,4064.0008580871677,4.295530750787379,-4.9484922821118875
1.0,4550.191926016822,4.393581588743444,-4.555749362128816
1.0,5144.945056263154,4.539999568871715,-4.049633788632926
1.0,5772.467671202221,4.680238288621945,-3.5695097015877817
1.0,6031.151212798176,4.726281151853993,-3.4014559400933155
1.0,3012.18256747844,3.8259707252722985,-6.407446589032132
1.0,3240.2075542280872,3.917820629453791,-6.0977168351381525
1.0,3474.5685043424132,3.9933576863292606,-5.82504917277692
1.0,3703.538722653294,4.059829245404307,-5.581482098349449
1.0,3950.8068169676735,4.118517434418828,-5.351685755567955
1.0,4212.382059602805,4.170033167127636,-5.1367949232110295
1.0,5448.783205901387,4.489047378476053,-4.051631643952975
1.0,5667.17680736188,4.537547732807122,-3.8867700115438506
1.0,4336.777472816099,4.0097130678287645,-5.40725089368369
1.0,4571.387229452941,4.083295805877096,-5.1685710427710685
1.0,5154.879175974768,4.274195748845696,-4.578108494009671
1.0,5576.051527170764,4.383563979885935,-4.222425701518157
1.0,5783.115482156626,4.435399881751266,-4.05593233243277
1.0,6012.04204767109,4.4856916951803765,-3.888179483952184
1.0,6475.636034324737,4.583384127286978,-3.5637580300730765
1.0,6746.994687433646,4.63341888396732,-3.3918371071465767
1.0,4307.2520108196395,3.752946564247967,-5.9328883221147155
1.0,4611.936379697565,3.8759402958883586,-5.567816297336927
1.0,4862.32419304018,3.9767501841750916,-5.274709595557669
1.0,5280.837469321593,4.1364912817630906,-4.8117321330332725
1.0,5471.8237489832345,4.203729973397602,-4.6156812900785535
1.0,5681.490507869849,4.265325057238755,-4.427211096645509
