"#Zeta","#Rho","#Lumi","#Mass","#Temp","#G","#Gbp-Grp","#Rad","#O2S","#O2L","#H1S","#N2S","#N2L","#S2S","#S2L","#S3S","#S3L","#Halpha","#Hbeta","HaNII","HaSII","SS"
"-22.0","-13.776","-12.6210792978187","13.2135700086188","4.01265129559789","46.8711227634677","1.15455688899311","9.24477549459163","-4.37531537435303","-5.01038530485774","-1.53050355996765","-4.0832560192501","-3.01337005762808","-4.08294830446881","-2.63072689248035","-5.77833694220038","-5.67336930263952","-0.415064540719075","1.25769896912092","2.5546647057174","2.5546647057174","-1.45222141198847"
"-21.5","-13.776","-12.090936655326","13.243751246558","4.03309679009459","45.8150638932644","1.16436909077725","9.22146357243355","-4.19786479823882","-5.0025256737682","-1.43556495301242","-4.81542639308257","-3.39580702081497","-3.14726358104356","-3.36557864086208","-5.08446892385132","-5.25180426979506","-0.615646568540182","1.27205848010116","2.76371349228838","2.76371349228838","0.218315059818517"
"-21.0","-13.776","-11.5679533371241","13.2667630946085","4.04931803527934","44.5586475534282","1.16884198623247","9.1836318675952","-4.83870849149868","-5.14609886590611","-1.4274242038852","-4.38723372617096","-3.65024661615851","-3.51201454880346","-3.74740089386342","-6.04915483830781","-6.70820930941532","-0.152880360719216","1.28501320545265","3.3783610466868","3.3783610466868","0.235386345059965"
"-20.5","-13.776","-11.0433848698951","13.2913616984118","4.06718713234755","43.2512261757888","1.16653875664128","9.14828109829602","-5.0898743205245","-5.66321636354467","-1.45403129618864","-4.36441709374948","-4.0948627800785","-4.0142136929322","-3.88367431314067","-6.13410787557286","-6.42816612781172","-0.085976735326702","1.29777530059191","3.74420576365968","3.74420576365968","-0.130539379791537"
"-20.0","-13.776","-10.5188887139101","13.315887874428","4.08507157491274","41.9427195699746","1.16443590932953","9.11282779190921","-5.33896079410414","-6.17684437589228","-1.48144686789787","-4.34743580468088","-4.53849395504945","-4.51645924892558","-4.0242959282319","-6.21402769292524","-6.15174183151724","-0.022675189708993","1.31053112426837","4.10782963762943","4.10782963762943","-0.492163320693683"
"-19.5","-13.776","-10.0097878194666","13.324994036126","4.10619108041254","40.5231540160111","1.18517887923943","9.05483628886964","-5.03504453879059","-5.96668570880596","-1.73268891104703","-5.63509226300941","-4.88408934136653","-5.02639863029719","-5.03221885041533","-5.27855205800922","-6.77960160056771","-0.869482564118123","1.32233866985065","3.94267380982429","3.94267380982429","0.00582022011813789"
"-19.0","-13.776","-9.55297403041568","13.2817423582372","4.13064282161645","39.1629993120684","1.2197728872079","8.97001897142292","-5.24734029063963","-6.02063020323333","-2.08357629052875","-5.31610601684154","-5.57274874478604","-5.68055468498243","-5.13954865146716","-5.3256491450168","-6.37259956915125","-0.0970756623868719","1.33259638854017","5.02759447968656","5.02759447968656","-0.54100603351527"
"-18.5","-13.776","-9.51142650845111","12.8223327688446","4.1607830590909","38.9050269169179","1.2346704367102","8.72011226715048","-6.22109842234465","-6.06466905619048","-2.29865367646252","-5.34102591323511","-5.49063771982477","-6.17896191239021","-6.51973999776214","-5.09337574107796","-6.09890829486265","-0.625475062666705","1.33411363045392","4.48011181836165","4.48011181836165","0.34077808537193"
"-24.0","-13.276","-14.3431601220342","13.4911886084414","3.85867535110846","48.7257700958201","1.10496029714828","9.32657257165904","-3.06229318596754","-4.41633068617406","-1.03958013487849","-3.35748068493888","-2.52783484270565","-2.46854506884359","-1.87059669726453","-7.13811495579334","-6.68840175100543","-0.218448343041168","1.19861569299943","2.24017746537938","2.24017746537938","-0.597948371579058"
"-23.5","-13.276","-13.7769538630746","13.5574856900345","3.90623122811646","48.0615526925966","1.17184574781716","9.31534313130177","-4.14952573993243","-4.1497096633168","-2.64419020682581","-3.14575309287664","-4.84565869541589","-2.44238194970737","-3.44034433442147","-7.12045021734794","-6.07480325116497","-0.544176949492688","1.21988493674112","2.5904281322398","2.5904281322398","0.997962384714096"
