#Xi,#Rho,#Lumi,#Mass,#Temp,#G,#Gbp-Grp,#Rad,#O2S,#O2L,#H1S,#N2S,#N2L,#S2S,#S2L,#S3S,#S3L,#Halpha,#Hbeta,#HaNII,#HaSII,#SS
-21.50204343,-14.77635936,-12.59354806,13.74437343,4.032900679,46.48026635,0.966651759,9.722016588,-3.181906131,-6.15490196,-1.496890563,-3.295077709,-2.671824339,-2.153477332,-2.296021175,-6.311135432,-5.577246059,-0.601365675,1.259808823,1.977705394,1.31653144,0.142543843
-23.00229991,-15.27635936,-14.65548703,13.18266648,3.990152308,50.69914447,1.030651052,9.768749065,-2.143331516,-3.038341651,-1.699404516,-2.197021145,-2.114469167,-1.243896628,-0.569602409,-7.346112442,-6.211054273,-0.219322726,1.203821303,1.633433915,0.266887209,-0.67429422
-22.00220259,-13.27635936,-11.73173838,15.10628353,3.939044764,43.63496381,1.234716814,9.801849439,-4.191518943,-4.870632404,-1.975925013,-3.12395545,-3.785951321,-2.431798276,-2.36181036,-7.010683695,-6.695294102,-1.548213564,1.273579946,1.490175527,0.546152434,-0.069987916
-21.99086845,-11.77635936,-10.40374057,16.42284519,3.823487271,39.67182966,1.339034849,9.835151331,-5.070325682,-5.226140448,-1.653255945,-4.13578567,-5.284832642,-3.087937444,-2.108741383,-8.668775219,-8.201418405,-0.087406002,1.301333895,4.018610431,1.978009706,-0.979196061
-21.97745074,-11.27635936,-9.971501564,16.8416264,3.766078073,38.23966141,1.295226712,9.842453215,-5.250959731,-6.153786636,-1.241012453,-4.887730232,-4.481881053,-3.20439802,-2.5551748,-9.028445847,-8.301290651,-0.241390857,1.312431256,4.096607263,2.22590571,-0.64922322
-21.96670643,-10.77635936,-9.546355319,17.25599603,3.698578963,36.92418326,1.27059384,9.84828151,-5.536853863,-6.050902875,-1.094635931,-5.822175028,-4.089856039,-3.309360988,-2.605898698,-9.076186279,-8.751291264,-0.028121383,1.319855274,4.053764367,2.499341564,-0.70346229
-23.00230223,-14.77635936,-14.19324206,13.64489794,3.963990765,49.24331037,1.019088841,9.78650298,-3.692932049,-3.176721443,-1.820735536,-2.195179321,-2.08175991,-1.296021175,-3.055517328,-7.081655071,-8.13667714,-0.101933339,1.214128262,1.731814209,1.186596879,1.759496153
-21.50247167,-14.27635936,-12.12151556,14.21682331,4.013932121,45.28205555,1.04840809,9.746750929,-3.505011026,-4.025120027,-1.546528766,-3.04590228,-2.825068406,-2.095230374,-2.370386555,-7.777803954,-6.240634378,-0.40099076,1.269863041,2.219576807,1.509351358,0.275156181
-22.50207927,-13.77635936,-12.73218835,14.6057113,3.937818685,45.62679012,1.08591261,9.802055006,-3.130592251,-4.179273237,-2.015922966,-3.243059764,-2.458920232,-2.747875447,-1.186152246,-7.055517328,-6.407046428,-2.026872146,1.249320677,0.365951726,-0.852473505,-1.561723202
-18.99891884,-14.77635936,-10.05651299,13.77828834,4.130430268,40.65234535,1.140371089,9.46575452,-4.315513708,-5.210419288,-1.292174432,-4.466609292,-4.070581074,-4.62178385,-4.095122233,-5.321937095,-5.881735274,-0.323580768,1.322074506,3.600325185,3.658468163,-0.526661617
-22.00220259,-13.27635936,-11.73173838,15.10628353,3.939044764,43.63496381,1.234716814,9.801849439,-4.191518943,-4.870632404,-1.975925013,-3.12395545,-3.785951321,-2.431798276,-2.36181036,-7.010683695,-6.695294102,-1.548213564,1.273579946,1.490175527,0.546152434,-0.069987916
-19.00023492,-14.27635936,-9.510844831,14.32529731,4.10605484,39.35076553,1.154166237,9.553822367,-5.571379327,-5.293282218,-1.346401618,-4.522878745,-4.107849722,-4.54515514,-4.042057665,-5.087937444,-6.042344833,-0.120445399,1.332276832,3.846090635,3.803023382,-0.503097475
-19.00075122,-13.77635936,-9.021044576,14.81561152,4.085183508,38.10693461,1.192706639,9.611988688,-5.206698646,-5.890421453,-1.387852162,-4.293538262,-4.34930402,-4.473919308,-5.647817482,-5.43985416,-6.430041182,-0.191383965,1.340979217,3.828112717,4.254369227,1.173898174
-19.49810274,-15.27635936,-11.05471408,13.27927154,4.130333768,43.12721214,1.133036105,9.466645228,-4.11577123,-4.096042291,-1.271483895,-4.14327111,-3.796423225,-4.007534852,-5.567030709,-4.261140198,-5.166661611,-0.312114475,1.300747612,3.322959491,3.683607153,1.559495857
-21.00239062,-12.77635936,-10.19569252,15.64252701,3.967538616,40.71571733,1.27368301,9.785223028,-4.937418016,-5.679645967,-1.569924944,-4.099141495,-3.924453039,-4.158015195,-3.60292945,-7.758453519,-7.181774106,-0.168386145,1.310077005,3.533656479,3.327823172,-0.555085745
-19.49961298,-14.77635936,-10.51045511,13.82506392,4.105986796,41.84920067,1.135690692,9.553579642,-4.025949097,-4.948461609,-1.284581677,-4.524038411,-3.819014419,-4.974284616,-4.51970554,-6.966576245,-5.223371447,-0.209292713,1.311478367,3.531543616,4.179727907,-0.454579076
-19.50065485,-14.27635936,-10.01963559,14.31692572,4.085040707,40.69513403,1.144426359,9.612518962,-4.132061349,-5.240709967,-1.313631897,-4.187287133,-3.431094585,-4.655607726,-4.252743603,-5.581698709,-6.330776126,-0.08650404,1.320769228,3.274438,4.021512729,-0.402864124
-22.9933626,-11.27635936,-11.16325318,16.66570656,3.634215204,40.62693322,-0.052935236,9.847171492,-4.033295223,-4.16678912,-1.230327336,-3.020770407,-3.120388093,-2.50237935,-1.66735959,-8.726535727,-7.30980392,-0.032967118,1.253434935,2.733732111,1.575127875,-0.835019761
-19.99850929,-15.77635936,-12.04343137,12.79096567,4.130172889,45.5474647,1.119789456,9.475743807,-3.281913705,-4.132179092,-1.319030282,-3.380802284,-4.15490196,-3.532096053,-3.024246611,-4.339798799,-4.857923539,-0.271646218,1.278479223,3.041628161,2.63514229,-0.507849443
-22.49333311,-11.77635936,-10.98051524,16.34850951,3.764549719,40.75160436,1.419252774,9.843762083,-4.01407978,-5.301638434,-2.232844134,-4.816730156,-3.964970718,-2.39739748,-2.326610422,-8.647431614,-8.276380164,-0.059533322,1.278959271,3.848272557,2,-0.070787058
